created;sku;quantity;amount;name
"2020-12-17 00:56:40.924";"116835";"1";"2846";"Piscina de pelotas selva"
"2020-12-17 00:56:40.924";"129868";"1";"187";"Flor artificial Piñas 17cm Natural Navidad"
"2020-12-17 00:56:40.924";"129900";"1";"264";"Cinta decorativa estampada dorado"
"2020-12-17 00:56:40.924";"129278";"1";"225";"Vincha Navidad Santa"
"2020-12-17 00:56:40.924";"129277";"1";"493";"Muñeco de tela Santa"
"2020-12-17 00:56:40.924";"129286";"1";"493";"Muñeco de tela Ratón"
"2020-12-17 00:56:40.924";"129915";"1";"493";"Set x 2 colgantes cerámica diseño Llama"
"2020-12-17 00:56:40.924";"129394";"1";"1142";"Set x 16 cubiertos Navidad"
"2020-12-17 11:08:29.484";"119805";"1";"120139";"Cocina A Gas 24"" Cmp6015Ag Mabe"
"2020-12-17 15:06:19.845";"111144";"1";"28459";"Sombrilla de acero 270cm Verde"
"2020-12-17 15:06:19.845";"111146";"1";"47559";"Sombrilla con parante 300cm Rojo"
